// FactionDef
утопия; утопии

// HediffDef
электромагнитный шок; электромагнитные шоки
ЭМИ-ожог; ЭМИ-ожоги
ЭМИ ожоговый рубец; ЭМИ ожоговые рубцы
сгорело (ЭМИ); сгорело (ЭМИ)
нейтропотеря; нейтропотери
замерзание; замерзания
озноб; ознобы
отморожено; отморожёны
перегрев; перегревы
недомогание от анализатора; недомогания от анализатора
нейтронасос; нейтронасосы
воздушный фильтр; воздушные фильтры
нейтрофильтр; нейтрофильтры
регулятор метаболизма; регуляторы метаболизма
реактор; реакторы
искусственный мозг; искусственные мозги
оптический блок; оптические блоки
аудиопроцессор; аудиопроцессоры
искусственный нос; искусственные носы
искусственная челюсть; искусственные челюсти
искусственная грудная клетка; искусственные грудные клетки
искусственный позвоночник; искусственные позвоночники
нога андроида; ноги андроида
ступня андроида; ступни андроида
рука андроида; руки андроида
кисть андроида; кисти андроида

// PawnKindDef
пробуждённый андроид; пробуждённые андроиды

// ThingDef
андроид; андроиды
место остановки андроида; места остановки андроида
стойка андроида; стойки андроида
андроид (в спящем режиме); андроиды (в спящем режиме)
мастерская андроидов; мастерские андроидов
полианализатор субъядер; полианализаторы субъядер
станция сборки андроидов; станции сборки андроидов
станция поведенческой настройки; станции поведенческой настройки
нейтроаминовый саркофаг; нейтроаминовые саркофаги
нейтроамин; нейтроамин
незаконченная часть андроида; незаконченные части андроидов
субъядро ИИ; субъядра ИИ
незаконченный андроид; незаконченные андроиды
нейтроаминовая труба; нейтроаминовые трубы
цистерна нейтроамина; цистерны нейтроамина
клапан нейтроамина; клапаны нейтроамина
слив нейтроамина; сливы нейтроамина
